name,career_id,importance
Web Security and OWASP,frontend,HIGH
Application Monitoring,full-stack,LOW
Authentication & Session Management,full-stack,HIGH
CI/CD & Workflow Automation,full-stack,HIGH
CSS Frameworks,full-stack,LOW
CSS3,full-stack,HIGH
Cloud Computing & AWS,full-stack,HIGH
Configuration Management & Automation,full-stack,LOW
Git & GitHub,full-stack,HIGH
HTML5,full-stack,HIGH
Infrastructure as Code (IaC),full-stack,HIGH
JavaScript,full-stack,HIGH
Linux Basics & Shell,full-stack,HIGH
NoSQL Databases & Caching,full-stack,LOW
Node.js,full-stack,HIGH
Package Managers,full-stack,HIGH
RESTful API Design & Architecture,full-stack,HIGH
React.js,full-stack,HIGH
Relational Databases,full-stack,HIGH
Web & Networking Fundamentals,full-stack,HIGH
AWS,devops,HIGH
Ansible,devops,HIGH
Artifact Management,devops,LOW
Azure,devops,HIGH
Bash Scripting,devops,HIGH
CI/CD & Workflow Automation,devops,HIGH
Cloud Design Patterns,devops,HIGH
Cloud Providers,devops,HIGH
Command Line & Scripting,devops,HIGH
Configuration Management & Automation,devops,LOW
Container Orchestration,devops,HIGH
Containerization,devops,HIGH
Docker,devops,HIGH
Git and Version Control,devops,HIGH
GitOps,devops,HIGH
Go,devops,LOW
Google Cloud Platform (GCP),devops,HIGH
Infrastructure Monitoring,devops,HIGH
Infrastructure as Code (IaC),devops,HIGH
JavaScript,devops,LOW
Kubernetes,devops,HIGH
Linux,devops,HIGH
Log Management,devops,LOW
Network Services Setup,devops,LOW
Observability,devops,HIGH
Operating Systems,devops,HIGH
PowerShell,devops,LOW
Python,devops,LOW
Ruby,devops,LOW
Rust,devops,LOW
Secrets Management,devops,LOW
Serverless Computing,devops,LOW
Service Mesh,devops,LOW
Terraform,devops,HIGH
VCS Hosting Platforms,devops,LOW
Web & Networking Fundamentals,devops,HIGH
Windows,devops,LOW
Advanced Rendering Techniques,game-developer,LOW
C#,game-developer,HIGH
C/C++,game-developer,HIGH
Computer Graphics Fundamentals,game-developer,HIGH
DirectX,game-developer,HIGH
GDScript,game-developer,LOW
Game AI,game-developer,HIGH
Game Mathematics,game-developer,HIGH
Game Physics & Collision Systems,game-developer,HIGH
Godot,game-developer,LOW
Metal,game-developer,LOW
Native Engine Development,game-developer,LOW
OpenGL,game-developer,HIGH
OpenGL ES,game-developer,LOW
Python,game-developer,LOW
Rust,game-developer,LOW
Unity,game-developer,HIGH
Unreal Engine,game-developer,HIGH
Vulkan,game-developer,HIGH
WebGL,game-developer,LOW
API & Backend Test Automation,qa,HIGH
Accessibility Testing,qa,LOW
Appium,qa,HIGH
CI/CD & Workflow Automation,qa,HIGH
Cypress,qa,HIGH
Email Testing,qa,LOW
Frontend Test Automation,qa,HIGH
Git and Version Control,qa,HIGH
Headless Browser Testing,qa,LOW
JMeter,qa,HIGH
Manual Testing,qa,HIGH
Mobile Test Automation,qa,LOW
Monitoring & Observability,qa,LOW
Performance & Load Testing,qa,HIGH
Playwright,qa,HIGH
Postman,qa,HIGH
QA Fundamentals,qa,HIGH
REST Assured,qa,LOW
SDLC & Methodologies,qa,LOW
Security Testing,qa,HIGH
Selenium,qa,HIGH
Test Data Management,qa,LOW
Test Reporting,qa,LOW
Testing Methodologies & Techniques,qa,HIGH
VCS Hosting Platforms,qa,LOW
.NET,software-architect,HIGH
APIs & Integration Patterns,software-architect,HIGH
Architect Soft Skills,software-architect,HIGH
Architecture Frameworks & Modeling,software-architect,LOW
Architecture Styles,software-architect,HIGH
Cloud & Operations Knowledge,software-architect,HIGH
Collaboration & Dev Tools,software-architect,LOW
Data Architecture,software-architect,HIGH
Design Patterns & Principles,software-architect,HIGH
Enterprise Software Platforms,software-architect,LOW
Go,software-architect,LOW
Java / Kotlin / Scala / Swift,software-architect,HIGH
JavaScript / TypeScript,software-architect,HIGH
Project & Delivery Management,software-architect,LOW
Python,software-architect,LOW
Ruby,software-architect,LOW
Salesforce,software-architect,HIGH
Security Architecture,software-architect,HIGH
Software Architect Responsibilities,software-architect,LOW
Software Architecture Fundamentals,software-architect,HIGH
Web & Mobile Architecture,software-architect,LOW
Web & Networking Fundamentals,software-architect,HIGH
