node_id,career_id,skill_group,name,node_level,stage,axis,node_kind,is_optional,is_checkpoint,selection,choose_count,weight,completion_policy,required_proficiency,evidence_keywords,parent_id,previous_id,description,link1,link2,link3
frontend-accessibility-basics,frontend,HTML5,Accessibility Basics,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-html,,"Website accessibility ensures sites are usable by everyone, including people with disabilities. Involves alt text for images, keyboard navigation, color contrast, and captions. Benefits all users, supports legal compliance, and expands audience reach.",https://web.dev/accessibility,https://youtube.com/playlist?list=PLNYkxOF6rcICWx0C9LVWWVqvHlYJyqw7g,
frontend-seo-basics,frontend,HTML5,SEO Basics,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-html,,"HTML (Hypertext Markup Language) is the standard for creating web pages, structuring content with elements and attributes. Browsers interpret HTML tags to render pages. HTML5, the current standard, adds semantic elements, multimedia support, and form controls. It works with CSS for styling and JavaScript for interactivity, forming web development's foundation.",https://roadmap.sh/html,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://youtu.be/mJgBOIoGihA
frontend-css,frontend,CSS3,CSS,3,FOUNDATION,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"css,flexbox,grid,responsive,layout",,frontend-html,"CSS (Cascading Style Sheets) styles HTML documents, controlling layout, colors, and fonts. Separates design from content using selectors to target elements. Features responsive design with media queries, cascade rules, inheritance, and specificity. Modern CSS includes Flexbox, Grid, animations, and transitions.",https://roadmap.sh/css,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://web.dev/learn/css/
frontend-css-basics,frontend,CSS3,CSS Basics,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-css,,"CSS (Cascading Style Sheets) styles HTML documents, controlling layout, colors, and fonts. Separates design from content using selectors to target elements. Features responsive design with media queries, cascade rules, inheritance, and specificity. Modern CSS includes Flexbox, Grid, animations, and transitions.",https://roadmap.sh/css,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://web.dev/learn/css/
frontend-layouts-with-flexbox-and-grid,frontend,CSS3,Layouts with Flexbox and Grid,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-css,,"CSS (Cascading Style Sheets) styles HTML documents, controlling layout, colors, and fonts. Separates design from content using selectors to target elements. Features responsive design with media queries, cascade rules, inheritance, and specificity. Modern CSS includes Flexbox, Grid, animations, and transitions.",https://roadmap.sh/css,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://web.dev/learn/css/
frontend-responsive-design,frontend,CSS3,Responsive Design,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-css,,"CSS (Cascading Style Sheets) styles HTML documents, controlling layout, colors, and fonts. Separates design from content using selectors to target elements. Features responsive design with media queries, cascade rules, inheritance, and specificity. Modern CSS includes Flexbox, Grid, animations, and transitions.",https://roadmap.sh/css,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://web.dev/learn/css/
frontend-javascript,frontend,JavaScript,JavaScript,4,FOUNDATION,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"javascript,js,dom,fetch,ajax,es6",,frontend-css,"JavaScript is a versatile programming language that makes websites interactive. Runs in browsers, servers (Node.js), and desktop applications. Features dynamic typing, event-driven programming, and constant evolution. Essential for modern web development across frontend and backend.",https://roadmap.sh/javascript,https://javascript.info/,https://javascript30.com/
frontend-javascript-basics,frontend,JavaScript,JavaScript Basics,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-javascript,,"Generative AI uses algorithms to create new content, like code or designs, based on the data it's trained on. This means it can help frontend developers by automatically generating things like UI elements, suggesting code snippets, or even creating entire webpage layouts based on specific requirements and examples. Essentially, it's a tool that can automate repetitive tasks and inspire new ideas in the frontend development workflow.",https://www.ibm.com/think/topics/ai-in-software-development,https://github.com/resources/articles/ai-in-software-development,https://blog.logrocket.com/frontend-ai-tools-for-developers/
frontend-dom-manipulation,frontend,JavaScript,DOM Manipulation,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-javascript,,"JavaScript is a versatile programming language that makes websites interactive. Runs in browsers, servers (Node.js), and desktop applications. Features dynamic typing, event-driven programming, and constant evolution. Essential for modern web development across frontend and backend.",https://roadmap.sh/javascript,https://javascript.info/,https://javascript30.com/
frontend-fetch-api-and-ajax,frontend,JavaScript,Fetch API and Ajax,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-javascript,,"JavaScript is a versatile programming language that makes websites interactive. Runs in browsers, servers (Node.js), and desktop applications. Features dynamic typing, event-driven programming, and constant evolution. Essential for modern web development across frontend and backend.",https://roadmap.sh/javascript,https://javascript.info/,https://javascript30.com/
frontend-version-control,frontend,Git and Version Control,Version Control,5,FOUNDATION,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"git,github,version control,branch,commit",,frontend-javascript,"Version Control Systems (VCS) like Git track code changes and enable developer collaboration through modification history. Features include branching, merging, reverting, remote repositories, pull requests, and code reviews. Essential for modern software development productivity, quality, and teamwork.",https://roadmap.sh/git-github,https://inter-git.com/lessons/introduction,https://www.atlassian.com/git/tutorials/what-is-version-control
frontend-git-basics,frontend,Git and Version Control,Git Basics,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-version-control,,"Git is a distributed version control system tracking code changes and enabling collaborative development. Features branching, merging, and complete project history. Allows offline work with local repositories. Fast, flexible, and the most popular VCS for software projects.",https://roadmap.sh/git-github,https://inter-git.com/lessons/introduction,https://thenewstack.io/tutorial-git-for-absolutely-everyone/
frontend-github,frontend,Git and Version Control,GitHub,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-version-control,,"GitHub is the leading Git repository hosting platform for open-source and private projects. Owned by Microsoft since 2018, it's essential for modern software development, project showcasing, and open-source contributions. Central hub for developer collaboration and code sharing.",https://roadmap.sh/git-github,https://docs.github.com/en/get-started/quickstart/hello-world,https://skills.github.com/
frontend-gitlab,frontend,Git and Version Control,GitLab,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-version-control,,"GitLab is a comprehensive DevOps platform offering integrated development tools including Git hosting, CI/CD, issue tracking, and deployment. Available as cloud service or self-hosted solution. Popular with enterprises seeking unified development workflows and built-in automation capabilities.",https://gitlab.com/,https://docs.gitlab.com/,https://thenewstack.io/development-connect-git-to-gitlab-for-small-projects/
frontend-package-managers,frontend,Package Managers,Package Managers,6,CORE,MAIN,CORE,,,CHOOSE_ONE,1,3,EVIDENCE_ALLOWED,65,"npm,yarn,pnpm,package,dependency",,frontend-version-control,"Package managers automate software package installation, updates, and dependency management. Examples include npm (JavaScript), pip (Python), and yarn. Enable code sharing, reuse, and consistent project setups. Essential for modern development workflows and team collaboration.",https://pnpm.io/,https://yarnpkg.com/en/docs/getting-started,https://nodesource.com/blog/an-absolute-beginners-guide-to-using-npm/
frontend-npm,frontend,Package Managers,npm,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,"npm,package managers",frontend-package-managers,,"npm (Node Package Manager) is the primary JavaScript package manager for finding, sharing, and managing code dependencies. Uses package.json to track project requirements and enables consistent builds across environments. Remains the most popular choice despite alternatives like Yarn and pnpm.",https://docs.npmjs.com/,https://peterxjang.com/blog/modern-javascript-explained-for-dinosaurs.html,https://www.youtube.com/watch?v=2V1UUhBJ62Y
frontend-yarn,frontend,Package Managers,yarn,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,"package managers,yarn",frontend-package-managers,,"Yarn is Facebook's JavaScript package manager offering fast, reliable, secure alternative to npm. Features lockfile consistency, parallel installations, offline mode, and checksum verification. Yarn Berry with Plug'n'Play improves performance for large projects.",https://yarnpkg.com/en/docs/getting-started,https://www.youtube.com/watch?v=g9_6KmiBISk,
frontend-pnpm,frontend,Package Managers,pnpm,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,"package managers,pnpm",frontend-package-managers,,"pnpm (performant npm) is a fast, disk-efficient JavaScript package manager using global storage with symlinks. Saves disk space, ensures strict package.json compliance, supports monorepos, and provides better security through dependency isolation. Growing popularity for speed and efficiency.",https://pnpm.io,https://blog.bitsrc.io/pnpm-javascript-package-manager-4b5abd59dc9,https://www.youtube.com/watch?v=MvbReZDSKHI
frontend-pick-a-framework,frontend,Frontend Framework,Pick a Framework,7,CORE,MAIN,CORE,,,CHOOSE_ONE,1,3,EVIDENCE_ALLOWED,65,"framework,component,spa,react,vue,angular,svelte",,frontend-package-managers,"Web frameworks are development toolkits providing libraries, structure, rules, and tools for building applications. Different frameworks offer varying features based on project needs. Popular examples include React, Angular, and Vue, each with unique strengths and capabilities.",https://www.youtube.com/watch?v=466U-2D86bc,https://www.youtube.com/watch?v=cuHDQhDhvPE,
frontend-react,frontend,,React,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,react,frontend-pick-a-framework,,"React is a JavaScript tool from Facebook for building UIs, especially for single-page apps. It lets you create reusable UI parts that update when data changes. React uses a virtual DOM for speed and has a one-way data flow. This component style makes code neat and reusable. React also works with tools like Redux for data management and React Native for mobile apps. It's popular because it's clear, fast, and has a big community.",https://roadmap.sh/react,https://www.youtube.com/watch?v=Bvwq_S0n2pk,https://react.dev
frontend-vue-js,frontend,,Vue.js,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,vue.js,frontend-pick-a-framework,,"Vue.js is a JavaScript framework for building website interfaces. It's easy to start with and can be added to projects bit by bit. Vue uses templates and a virtual DOM (a lightweight copy of the real page) to show things on screen efficiently. It has a system of reusable components, making code organized. While Vue mainly handles what users see, it works well with other tools for things like managing data or page navigation. It's known for being easy to learn, flexible, and fast, making it popular for all kinds of projects.",https://roadmap.sh/vue,https://vuejs.org/,https://www.youtube.com/watch?v=VeNfHj6MhgA
frontend-angular,frontend,,Angular,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,angular,frontend-pick-a-framework,,"Angular is a popular tool from Google for building websites and web apps. It uses TypeScript (a type of JavaScript) to create large, efficient single-page applications (SPAs), where content loads in one go without needing to reload the whole page. Angular builds UIs with reusable components, like building blocks. It has features like two-way data binding (data updates automatically in different places), dependency injection (helps manage code parts), and a strong template system. Angular also offers tools for testing, page navigation, and managing app data, making it great for big, complex projects.",https://roadmap.sh/angular,https://angular.dev/tutorials/learn-angular,https://www.youtube.com/watch?v=3qBXWUpoPHo
frontend-svelte,frontend,,Svelte,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,svelte,frontend-pick-a-framework,,"Svelte is a JavaScript tool for building UIs. Unlike others, Svelte does its main work during build time, not in the browser. It turns your code into small, fast, plain JavaScript. Svelte uses components and has a simple syntax, so you write less code. It includes features for managing data, styling, and animations. Because Svelte doesn't use a virtual DOM, pages load and update quickly. It's liked for its simplicity and speed.",https://www.youtube.com/playlist?list=PL4cUxeGkcC9hlbrVO_2QFVqVPhlZmz7tO,https://svelte.dev/,https://thenewstack.io/svelte-and-the-future-of-front-end-development/
frontend-writing-css,frontend,Modern CSS and Styling,Writing CSS,8,CORE,MAIN,CORE,,,CHOOSE_ONE,1,3,EVIDENCE_ALLOWED,65,"tailwind,css frameworks,utility css,styling",,frontend-pick-a-framework,"Modern CSS creates responsive designs using media queries, flexible typography, CSS-in-JS, and frameworks like Tailwind. Features CSS Logical Properties for internationalization and CSS Houdini for custom styling. Goals: performance, maintainability, and accessible designs across all devices.",https://roadmap.sh/css,https://moderncss.dev/,https://css-tricks.com/modern-css/
frontend-tailwind-css,frontend,,Tailwind CSS,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,tailwind css,frontend-writing-css,,"Tailwind CSS is a utility-first CSS framework providing small, composable classes for rapid custom design development. Features mobile-first approach, automatic unused style removal (purging), and flexible customization. Enables quick responsive design prototyping without writing custom CSS.",https://www.youtube.com/watch?v=lCxcTsOHrjo,https://tailwindcss.com,https://play.tailwindcss.com
frontend-css-frameworks,frontend,,CSS Frameworks,,CORE,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,css frameworks,frontend-writing-css,,"Modern CSS creates responsive designs using media queries, flexible typography, CSS-in-JS, and frameworks like Tailwind. Features CSS Logical Properties for internationalization and CSS Houdini for custom styling. Goals: performance, maintainability, and accessible designs across all devices.",https://roadmap.sh/css,https://moderncss.dev/,https://css-tricks.com/modern-css/
frontend-build-tools,frontend,Build Tools and Bundlers,Build Tools,9,PRACTICAL,MAIN,CORE,,,CHOOSE_ONE,1,3,EVIDENCE_ALLOWED,65,"vite,esbuild,rollup,bundler,build",,frontend-writing-css,"Module bundlers combine multiple JavaScript files into optimized bundles for browsers. Handle dependencies, code transformation, and splitting for performance. Examples: Webpack, Rollup, Parcel. Enable modern JavaScript features, improve load times, and streamline development workflows.",https://rollupjs.org/,https://webpack.js.org/,https://snipcart.com/blog/javascript-module-bundler
frontend-vite,frontend,,Vite,,PRACTICAL,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,vite,frontend-build-tools,,"Vite is a modern build tool using native ES modules for instant server starts and fast Hot Module Replacement. Supports Vue, React, Svelte with Rollup for production builds. Features CSS pre-processors and TypeScript integration. Enhances developer experience with faster development cycles.",https://vite.dev,https://vite.dev/guide/,https://youtu.be/LQQ3CR2JTX8
frontend-esbuild,frontend,,esbuild,,PRACTICAL,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,esbuild,frontend-build-tools,,"esbuild is an extremely fast JavaScript bundler and minifier written in Go. Handles modern JavaScript, TypeScript, and JSX with near-instant bundling. Simple API with excellent performance for development and as foundation for other tools. Trades some advanced features for speed.",https://www.youtube.com/watch?v=KLdF1yu_bmI,https://esbuild.github.io/,https://www.youtube.com/watch?v=ZY8Vu8cbWF0
frontend-rollup,frontend,,Rollup,,PRACTICAL,BRANCH,ALTERNATIVE,,,ALL,,1,EVIDENCE_ALLOWED,65,rollup,frontend-build-tools,,"Rollup is a JavaScript bundler creating efficient bundles from ES modules. Excels at tree-shaking to remove unused code and supports multiple output formats. Produces smaller bundles than alternatives, ideal for libraries and modern JavaScript projects requiring optimization.",https://rollupjs.org/,https://www.youtube.com/watch?v=ICYLOZuFMz8,
frontend-linters-and-formatters,frontend,Code Quality Tools,Linters and Formatters,10,PRACTICAL,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"eslint,prettier,lint,format",,frontend-build-tools,"Linters and formatters improve code quality by finding errors, bugs, and style issues (linters) and automatically fixing formatting like indentation and spacing (formatters). Ensure consistency, readability, and early error detection. Examples: ESLint, Prettier.",https://www.testim.io/blog/what-is-a-linter-heres-a-definition-and-quick-start-guide/,,
frontend-eslint,frontend,Code Quality Tools,ESLint,,PRACTICAL,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-linters-and-formatters,,"ESLint is a JavaScript linter checking code for problems, maintains consistent style, and finds errors. Highly configurable with custom or preset rules. Supports modern JavaScript, JSX, and TypeScript. Integrates with editors and builds tools, offering automatic fixing for team consistency.",https://eslint.org/,https://2coffee.dev/en/articles/what-is-eslint-and-how-to-use-eslint-to-detect-fix-code-for-javascript-projects,https://www.youtube.com/watch?v=qhuFviJn-es
frontend-prettier,frontend,Code Quality Tools,Prettier,,PRACTICAL,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-linters-and-formatters,,"Prettier automatically formats code for consistency across JavaScript, TypeScript, CSS, and other languages. Enforces opinionated style rules, eliminating style debates and saving time. Integrates with editors and pre-commit hooks. Popular for maintaining uniform code appearance across teams.",https://prettier.io,https://prettier.io/docs/en/why-prettier.html,https://www.youtube.com/watch?v=DqfQ4DPnRqI
frontend-testing,frontend,Frontend Testing,Testing,11,PRACTICAL,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"jest,vitest,playwright,unit test,e2e",,frontend-linters-and-formatters,"Testing verifies software functionality and quality through unit, integration, functional, UI/UX, performance, security, accessibility, and compatibility testing. Modern approaches use automated tools, CI/CD pipelines, TDD, and BDD methodologies. Early bug detection improves application reliability.",https://www.atlassian.com/continuous-delivery/software-testing/types-of-software-testing,https://www.youtube.com/watch?v=l3qjQpYBR8c,
frontend-unit-testing-with-jest,frontend,Frontend Testing,Unit Testing with Jest,,PRACTICAL,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-testing,,"Jest is Facebook's JavaScript testing framework for unit testing with auto mocking, code coverage, and snapshot testing. Works with React, Angular, Vue. Features parallel test execution, watch mode, and built-in assertion library. Top choice for JavaScript developers.",https://jestjs.io/,https://youtu.be/IPiUDhwnZxA?si=2_lE2bDo2fRuo2CU,
frontend-end-to-end-testing-with-playwright,frontend,Frontend Testing,End-to-End Testing with Playwright,,PRACTICAL,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-testing,,"Playwright is Microsoft's cross-browser automation testing framework supporting Chromium, Firefox, WebKit across platforms. Works with JavaScript, TypeScript, Python, .NET. Features auto-waiting, network control, mobile simulation. Excellent for modern web app testing with debugging tools.",https://playwright.dev/,https://thenewstack.io/playwright-a-time-saving-end-to-end-testing-framework/,https://www.youtube.com/playlist?list=PLQ6Buerc008ed-F9OksF7ek37wR3y916p
frontend-vitest,frontend,Frontend Testing,Vitest,,PRACTICAL,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-testing,,"Vitest is a fast JavaScript/TypeScript testing framework optimized for Vite with Jest-compatible API. Features live test updates, snapshot testing, mocking, code coverage, parallel execution, and watch mode. Designed for Vite projects but works with any JavaScript project.",https://vitest.dev/,https://vitest.dev/guide/,https://www.youtube.com/watch?v=snCLQmINqCU
frontend-type-checkers,frontend,TypeScript,Type Checkers,12,PRACTICAL,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"typescript,ts,types,interface,generics",,frontend-testing,"Type checkers are tools that analyze code to verify that the types of values used in a program are consistent with their declared or inferred types. They help catch type-related errors during development, before the code is run, by identifying mismatches between expected and actual data types. This process ensures that operations are performed on compatible data, reducing the likelihood of runtime errors and improving code reliability.",https://finchtrade.com/glossary/type-checking,,
frontend-typescript,frontend,TypeScript,TypeScript,,PRACTICAL,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-type-checkers,,"Type checkers are tools that analyze code to verify that the types of values used in a program are consistent with their declared or inferred types. They help catch type-related errors during development, before the code is run, by identifying mismatches between expected and actual data types. This process ensures that operations are performed on compatible data, reducing the likelihood of runtime errors and improving code reliability.",https://finchtrade.com/glossary/type-checking,,
frontend-authentication,frontend,Authentication Strategies,Authentication,13,ADVANCED,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"jwt,oauth,sso,session,token,auth",,frontend-type-checkers,"Authentication strategies verify a user's identity to grant access. Common methods include Basic Auth (username/password), Session-based (server remembers login), Token-based (like JWT, a secure digital key), OAuth (for third-party access like ""Login with Google""), and SSO (Single Sign-On, one login for many apps). Knowing these helps choose the right security for your app.",https://roadmap.sh/guides/basic-authentication,https://roadmap.sh/guides/session-based-authentication-visually-explained,https://roadmap.sh/guides/token-authentication
frontend-authentication-strategies,frontend,Authentication Strategies,Authentication Strategies,,ADVANCED,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-authentication,,"Authentication strategies verify a user's identity to grant access. Common methods include Basic Auth (username/password), Session-based (server remembers login), Token-based (like JWT, a secure digital key), OAuth (for third-party access like ""Login with Google""), and SSO (Single Sign-On, one login for many apps). Knowing these helps choose the right security for your app.",https://roadmap.sh/guides/basic-authentication,https://roadmap.sh/guides/session-based-authentication-visually-explained,https://roadmap.sh/guides/token-authentication
frontend-web-security,frontend,Web Security and OWASP,Web Security,14,ADVANCED,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"https,cors,csp,xss,owasp,security",,frontend-authentication,"Web security protects websites from cyber threats through HTTPS/TLS, XSS/SQL injection/CSRF prevention, CSP, secure authentication, input validation, and regular updates. Involves understanding OWASP Top Ten vulnerabilities, access controls, secure coding practices, and threat awareness for comprehensive protection.",https://owasp.org/,https://cheatsheetseries.owasp.org/cheatsheets/AJAX_Security_Cheat_Sheet.html,https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP
frontend-https,frontend,Web Security and OWASP,HTTPS,,ADVANCED,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-web-security,,"HTTPS (Hypertext Transfer Protocol Secure) is HTTP's encrypted version, securing data transmission between browsers and websites. Essential for protecting sensitive information like banking and email. Ensures privacy and security through data encryption for online communications.",https://www.cloudflare.com/en-gb/learning/ssl/what-is-https/,https://developers.google.com/web/fundamentals/security/encrypt-in-transit/why-https,https://web.dev/enable-https/
frontend-cors,frontend,Web Security and OWASP,CORS,,ADVANCED,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-web-security,,CORS (Cross-Origin Resource Sharing) controls web page access to resources from different domains through HTTP headers. Servers specify allowed origins while browsers send preflight requests for permission. Prevents unauthorized access while enabling legitimate cross-origin requests for modern multi-domain applications.,https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS,https://rbika.com/blog/understanding-cors,https://www.youtube.com/watch?v=PNtFSVU-YTI
frontend-content-security-policy,frontend,Web Security and OWASP,Content Security Policy,,ADVANCED,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-web-security,,"Content Security Policy (CSP) prevents XSS and clickjacking attacks by specifying trusted content sources through HTTP headers. Website creators define safe sources for scripts, styles, images, and other resources. Limits malicious code execution and provides violation reporting for security monitoring.",https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP,https://web.dev/csp/,
frontend-owasp-risks,frontend,Web Security and OWASP,OWASP Risks,,ADVANCED,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-web-security,,"OWASP (Open Web Application Security Project) identifies top web application security risks including injection attacks, broken authentication, data exposure, and vulnerable dependencies. Provides guidance on secure coding practices, regular security testing, and comprehensive protection strategies for web applications.",https://owasp.org/,https://cheatsheetseries.owasp.org/cheatsheets/AJAX_Security_Cheat_Sheet.html,https://github.com/0xRadi/OWASP-Web-Checklist
